FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DELAYED_STATUS,CANCELLED_STATUS,DIVERTED_STATUS
12/1/18 0:00,LAX,ABQ,-7,-22,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,-7,-11,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,-5,-23,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,-5,-21,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,-2,-18,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,-1,-32,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,-1,-9,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ABQ,1,-16,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ACV,-9,3,0,,0,,,,,,YES,NO,NO
12/1/18 0:00,LAX,ANC,-4,7,0,,0,,,,,,YES,NO,NO
12/1/18 0:00,LAX,ASE,-5,-13,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ASE,2,-18,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,-5,-17,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,-4,-35,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,-2,-27,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,-1,-25,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,-1,-20,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,3,-6,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,4,-24,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,4,-23,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,5,-12,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,8,-23,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,10,-13,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,ATL,12,-6,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-16,-45,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-9,-42,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-9,-28,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-7,-33,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-6,-39,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-4,-23,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,-2,-23,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,AUS,9,3,0,,0,,,,,,YES,NO,NO
12/1/18 0:00,LAX,AUS,10,-13,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BDL,-6,-17,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BNA,-2,-21,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BNA,-1,-15,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BNA,0,-31,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BNA,0,-26,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BNA,38,10,0,,0,,,,,,YES,NO,NO
12/1/18 0:00,LAX,BOI,-8,-21,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOI,-8,-9,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOI,49,38,0,,0,0,0,0,0,38,YES,NO,NO
12/1/18 0:00,LAX,BOS,-8,-42,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-8,-35,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-8,-17,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-8,-17,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-4,-14,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-3,-19,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-2,-1,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,-1,-3,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,0,-7,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,1,-13,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BOS,9,-13,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BWI,-4,-41,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BWI,-4,-20,0,,0,,,,,,NO,NO,NO
12/1/18 0:00,LAX,BWI,1,-10,0,,0,,,,,,NO,NO,NO
