FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DELAYED_STATUS,CANCELLED_STATUS,DIVERTED_STATUS
12/1/2020 0:00,LAX,ABQ,-4,-8,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ASE,-11,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,-9,1,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,ATL,-8,-12,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,-3,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,-2,-12,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,-2,-11,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,-1,0,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,0,-11,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,0,-10,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,ATL,0,16,0,,0,0,0,16,0,0,YES,NO,NO
12/1/2020 0:00,LAX,ATL,5,6,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,ATL,11,3,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,ATL,97,88,0,,0,88,0,0,0,0,YES,NO,NO
12/1/2020 0:00,LAX,ATL,181,186,0,,0,181,0,5,0,0,YES,NO,NO
12/1/2020 0:00,LAX,AUS,-5,-12,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,AUS,-4,-5,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,AUS,2,-14,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,AUS,11,-3,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,AUS,115,112,0,,0,112,0,0,0,0,YES,NO,NO
12/1/2020 0:00,LAX,AUS,155,142,0,,0,11,0,0,0,131,YES,NO,NO
12/1/2020 0:00,LAX,BNA,-10,-22,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BNA,-7,-17,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BNA,-6,-11,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BNA,-4,2,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,BNA,-2,-14,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOI,-11,-15,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOI,-10,-9,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOI,-6,-5,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOI,-1,-7,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOI,0,1,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,BOS,-19,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOS,-19,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOS,-11,5,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,BOS,-9,-1,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOS,-8,5,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,BOS,-6,-1,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BOS,-4,8,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,BWI,-12,-13,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BWI,-4,-3,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BWI,-1,-1,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,BZN,-5,-7,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,CLE,44,57,0,,0,12,0,45,0,0,YES,NO,NO
12/1/2020 0:00,LAX,CLT,-8,-20,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,CLT,-7,-7,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,CLT,-6,-3,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,CLT,-2,-6,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,CLT,-2,9,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,DAL,-10,-14,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DAL,-5,-19,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DAL,-1,-6,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DAL,9,-3,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DCA,-5,-16,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DCA,-3,2,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,DCA,82,96,0,,0,82,0,14,0,0,YES,NO,NO
12/1/2020 0:00,LAX,DEN,-14,33,0,,0,0,0,33,0,0,YES,NO,NO
12/1/2020 0:00,LAX,DEN,-11,-18,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-8,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-7,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-6,-17,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-4,-15,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-4,-5,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-3,62,0,,0,0,0,62,0,0,YES,NO,NO
12/1/2020 0:00,LAX,DEN,-2,-8,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-1,-6,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DEN,-1,3,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,DEN,-1,21,0,,0,21,0,0,0,0,YES,NO,NO
12/1/2020 0:00,LAX,DEN,30,27,0,,0,0,0,0,0,27,YES,NO,NO
12/1/2020 0:00,LAX,DEN,35,33,0,,0,17,0,0,0,16,YES,NO,NO
12/1/2020 0:00,LAX,DEN,125,124,0,,0,0,0,124,0,0,YES,NO,NO
12/1/2020 0:00,LAX,DEN,135,134,0,,0,0,0,119,0,15,YES,NO,NO
12/1/2020 0:00,LAX,DEN,216,215,0,,0,215,0,0,0,0,YES,NO,NO
12/1/2020 0:00,LAX,DFW,-9,-6,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-8,-17,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-8,5,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,DFW,-7,-5,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-6,-19,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-6,-9,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-4,-19,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-4,-3,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-3,-12,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-2,-17,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-2,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-1,-12,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,-1,-7,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DFW,15,14,0,,0,,,,,,YES,NO,NO
12/1/2020 0:00,LAX,DTW,-8,-2,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DTW,-7,-4,0,,0,,,,,,NO,NO,NO
12/1/2020 0:00,LAX,DTW,-6,3,0,,0,,,,,,YES,NO,NO
